SKU,Product_Name,Category,Price,Stock_Count,Last_Restock_Date
SURG-1001,Hemostatic Forceps,Grasping,391.23,9.0,2023-01-02
SURG-1002,Retractor,cutting,496.5,10.0,2023-01-03
SURG-1004,Metzenbaum Scissors,Cutting,69.44,69.0,2023-01-05
SURG-1005,Adson Tissue Forceps,Grasping ,311.18,92.0,2023-01-06
SURG-1006,Speculum,Diagnostic,361.51,28.0,2023-01-07
SURG-1008,Scalpel Holder,Cutting,246.28,27.0,2023-01-09
SURG-1009,Hemostatic Forceps,Grasping,415.14,6.0,2023-01-10
SURG-1010,Scalp3l Holdr,Retracting,172.44,36.0,2023-01-11
SURG-1011,Needle Driver,Suturing,417.16,99.0,2023-01-12
SURG-1013,Adson Tissue Forceps,Grasping,134.83,42.0,2023-01-14
SURG-1014,Speculum,Diagnostic,282.03,48.0,2023-01-15
SURG-1015,Bone Saw,Orthopedic,18.15,80.0,05/12/2023
SURG-1016,Scalpel Holder,Cutting,448.34,38.0,2023-01-17
SURG-1017,Hemostatic Forceps,Grasping,64.4,21.0,2023-01-18
SURG-1018,Retractor,Retracting,83.3,41.0,2023-01-19
SURG-1019,Needle Driver,Suturing,147.99,4.0,2023-01-20
SURG-1020,Metzenbaum Scissors,Cutting,111.97,58.0,2023-01-21
SURG-1021,Adson Tissue Forceps,Grasping,148.31,71.0,2023-01-22
SURG-1022,Speculum,Diagnostic,311.65,83.0,2023-01-23
SURG-1023,Bone Saw,Orthopedic,346.99,35.0,2023-01-24
SURG-1024,Scalpel Holder,Cutting,316.23,16.0,2023-01-25
SURG-1025,Hemostatic Forceps,Grasping,363.95,99.0,2023-01-26
SURG-1026,Retractor,Retracting,194.38,29.0,2023-01-27
SURG-1027,Needle Driver,Suturing,168.01,91.0,2023-01-28
SURG-1028,Metzenbaum Scissors,Cutting,355.6,93.0,2023-01-29
SURG-1029,Adson Tissue Forceps,Grasping,292.28,8.0,2023-01-30
SURG-1030,Speculum,Diagnostic,327.9,51.0,2023-01-31
SURG-1031,Bone Saw,Orthopedic,376.48,15.0,2023-02-01
SURG-1032,Scalpel Holder,Cutting,284.48,93.0,2023-02-02
SURG-1033,Hemostatic Forceps,Grasping,394.82,63.0,2023-02-03
SURG-1034,Retractor,Retracting,173.39,72.0,2023-02-04
SURG-1035,Needle Driver,Suturing,207.13,84.0,2023-02-05
SURG-1036,Metzenbaum Scissors,Cutting,421.5,26.0,2023-02-06
SURG-1037,Adson Tissue Forceps,Grasping,358.34,95.0,2023-02-07
SURG-1038,Speculum,Diagnostic,319.04,98.0,2023-02-08
SURG-1039,Bone Saw,Orthopedic,236.6,64.0,2023-02-09
SURG-1040,Scalpel Holder,Cutting,293.5,43.0,2023-02-10
SURG-1041,Hemostatic Forceps,Grasping,430.13,95.0,2023-02-11
SURG-1042,Retractor,Retracting,419.21,66.0,2023-02-12
SURG-1043,Needle Driver,Suturing,152.96,57.0,2023-02-13
SURG-1044,Metzenbaum Scissors,Cutting,471.58,13.0,2023-02-14
SURG-1045,Adson Tissue Forceps,Grasping,485.53,15.0,2023-02-15
SURG-1046,Speculum,Diagnostic,52.96,48.0,2023-02-16
SURG-1047,Bone Saw,Orthopedic,417.28,46.0,2023-02-17
SURG-1048,Scalpel Holder,Cutting,245.76,33.0,2023-02-18
SURG-1049,Hemostatic Forceps,Grasping,132.52,30.0,2023-02-19
